"
Código do Município","
Município",Mês/ano,Estoque,Admissões,Desligamentos,Saldos,Variação Relativa (%)
231320,Tamboril,03/2023,181,2,6,-4,-2.16
231320,Tamboril,04/2023,177,2,6,-4,-2.21
231320,Tamboril,05/2023,182,8,3,5,2.82
231320,Tamboril,06/2023,184,3,1,2,1.1
231320,Tamboril,07/2023,191,9,2,7,3.8
231320,Tamboril,08/2023,191,3,3,0,0
231320,Tamboril,09/2023,196,9,4,5,2.62
231320,Tamboril,10/2023,201,8,3,5,2.55
231320,Tamboril,11/2023,198,1,4,-3,-1.49
231320,Tamboril,12/2023,208,12,2,10,5.05
231320,Tamboril,01/2024,209,4,3,1,0.48
231320,Tamboril,02/2024,211,3,1,2,0.96
231320,Tamboril,03/2024,218,9,2,7,3.32
231320,Tamboril,04/2024,219,7,6,1,0.46
231320,Tamboril,05/2024,220,4,3,1,0.46
231320,Tamboril,06/2024,223,4,1,3,1.36
231320,Tamboril,07/2024,224,4,3,1,0.45
231320,Tamboril,08/2024,221,0,3,-3,-1.34
231320,Tamboril,09/2024,222,3,2,1,0.45
231320,Tamboril,10/2024,226,6,2,4,1.8
231320,Tamboril,11/2024,226,9,9,0,0
231320,Tamboril,12/2024,217,3,12,-9,-3.98
231320,Tamboril,01/2025,212,2,7,-5,-2.3
231320,Tamboril,02/2025,211,10,11,-1,-0.47
231320,Tamboril,03/2025,197,2,16,-14,-6.64
231320,Tamboril,04/2025,204,9,2,7,3.55
231320,Tamboril,05/2025,197,2,9,-7,-3.43
231320,Tamboril,06/2025,199,5,3,2,1.02
231320,Tamboril,07/2025,222,25,2,23,11.56
231320,Tamboril,08/2025,219,4,7,-3,-1.35
231320,Tamboril,09/2025,225,12,6,6,2.74
231320,Tamboril,10/2025,231,10,4,6,2.67
231320,Tamboril,11/2025,230,4,5,-1,-0.43
231320,Tamboril,12/2025,230,4,4,0,0
231320,Tamboril,01/2026,235,9,4,5,2.17
231320,Tamboril,02/2026,229,4,10,-6,-2.55
231320,Tamboril,03/2026,237,14,6,8,3.49
231320,Tamboril,04/2026,234,7,10,-3,-1.27
231325,Tarrafas,01/2020,27,2,0,2,
231325,Tarrafas,02/2020,29,2,0,2,7.41
231325,Tarrafas,03/2020,30,1,0,1,3.45
231325,Tarrafas,04/2020,30,0,0,0,0
231325,Tarrafas,05/2020,30,1,1,0,0
231325,Tarrafas,06/2020,28,0,2,-2,-6.67
231325,Tarrafas,07/2020,28,1,1,0,0
231325,Tarrafas,08/2020,28,0,0,0,0
231325,Tarrafas,09/2020,28,0,0,0,0
231325,Tarrafas,10/2020,27,0,1,-1,-3.57
231325,Tarrafas,11/2020,28,1,0,1,3.7
231325,Tarrafas,12/2020,28,0,0,0,0
231325,Tarrafas,01/2021,29,1,0,1,3.57
231325,Tarrafas,02/2021,26,0,3,-3,-10.34
231325,Tarrafas,03/2021,26,0,0,0,0
231325,Tarrafas,04/2021,25,0,1,-1,-3.85
231325,Tarrafas,05/2021,22,0,3,-3,-12
231325,Tarrafas,06/2021,23,1,0,1,4.55
231325,Tarrafas,07/2021,28,5,0,5,21.74
231325,Tarrafas,08/2021,28,0,0,0,0
231325,Tarrafas,09/2021,28,0,0,0,0
231325,Tarrafas,10/2021,28,1,1,0,0
231325,Tarrafas,11/2021,41,14,1,13,46.43
231325,Tarrafas,12/2021,41,0,0,0,0
231325,Tarrafas,01/2022,41,1,1,0,0
231325,Tarrafas,02/2022,42,2,1,1,2.44
231325,Tarrafas,03/2022,40,0,2,-2,-4.76
231325,Tarrafas,04/2022,26,1,15,-14,-35
231325,Tarrafas,05/2022,42,18,2,16,61.54
231325,Tarrafas,06/2022,45,3,0,3,7.14
231325,Tarrafas,07/2022,28,0,17,-17,-37.78
231325,Tarrafas,08/2022,32,4,0,4,14.29
231325,Tarrafas,09/2022,33,4,3,1,3.13
231325,Tarrafas,10/2022,33,0,0,0,0
231325,Tarrafas,11/2022,35,4,2,2,6.06
231325,Tarrafas,12/2022,36,1,0,1,2.86
231325,Tarrafas,01/2023,34,0,2,-2,-5.56
231325,Tarrafas,02/2023,29,1,6,-5,-14.71
231325,Tarrafas,03/2023,28,0,1,-1,-3.45
231325,Tarrafas,04/2023,25,2,5,-3,-10.71
231325,Tarrafas,05/2023,28,3,0,3,12
231325,Tarrafas,06/2023,39,12,1,11,39.29
231325,Tarrafas,07/2023,39,1,1,0,0
231325,Tarrafas,08/2023,40,2,1,1,2.56
231325,Tarrafas,09/2023,43,3,0,3,7.5
231325,Tarrafas,10/2023,42,0,1,-1,-2.33
231325,Tarrafas,11/2023,43,1,0,1,2.38
231325,Tarrafas,12/2023,39,0,4,-4,-9.3
231325,Tarrafas,01/2024,36,2,5,-3,-7.69
231325,Tarrafas,02/2024,37,1,0,1,2.78
231325,Tarrafas,03/2024,26,0,11,-11,-29.73
231325,Tarrafas,04/2024,26,0,0,0,0
231325,Tarrafas,05/2024,26,0,0,0,0
231325,Tarrafas,06/2024,27,1,0,1,3.85
231325,Tarrafas,07/2024,27,1,1,0,0
231325,Tarrafas,08/2024,25,0,2,-2,-7.41
231325,Tarrafas,09/2024,26,1,0,1,4
231325,Tarrafas,10/2024,27,1,0,1,3.85
231325,Tarrafas,11/2024,25,0,2,-2,-7.41
231325,Tarrafas,12/2024,28,4,1,3,12
231325,Tarrafas,01/2025,25,0,3,-3,-10.71
231325,Tarrafas,02/2025,26,1,0,1,4
231325,Tarrafas,03/2025,25,0,1,-1,-3.85
231325,Tarrafas,04/2025,26,2,1,1,4
231325,Tarrafas,05/2025,27,1,0,1,3.85
231325,Tarrafas,06/2025,26,1,2,-1,-3.7
