Código do Município,Município,Mês/ano,Estoque_mar,Estoque_abri,Estoque_diff,Admissões_mar,Admissões_abri,Admissões_diff,Desligamentos_mar,Desligamentos_abri,Desligamentos_diff,Saldos_mar,Saldos_abri,Saldos_diff
230015,Acarape,01/2022,926,936,10,62,64,2,36,36,0,26,28,2
230015,Acarape,01/2023,928,930,2,18,18,0,34,35,1,-16,-17,-1
230015,Acarape,01/2024,965,955,-10,42,43,1,27,31,4,15,12,-3
230015,Acarape,01/2025,1014,971,-43,26,26,0,30,30,0,-4,-4,0
230015,Acarape,01/2026,1085,1037,-48,44,44,0,32,32,0,12,12,0
230015,Acarape,02/2020,1079,1198,119,21,21,0,42,44,2,-21,-23,-2
230015,Acarape,02/2021,741,769,28,18,18,0,28,31,3,-10,-13,-3
230015,Acarape,02/2022,910,917,7,12,12,0,28,31,3,-16,-19,-3
230015,Acarape,02/2023,957,960,3,45,45,0,16,15,-1,29,30,1
230015,Acarape,02/2024,959,943,-16,26,26,0,32,38,6,-6,-12,-6
230015,Acarape,02/2025,1005,960,-45,36,36,0,45,47,2,-9,-11,-2
230015,Acarape,02/2026,1051,1004,-47,17,18,1,51,51,0,-34,-33,1
230015,Acarape,03/2020,1001,1108,107,17,18,1,95,108,13,-78,-90,-12
230015,Acarape,03/2021,764,787,23,38,39,1,15,21,6,23,18,-5
230015,Acarape,03/2022,912,915,3,34,34,0,32,36,4,2,-2,-4
230015,Acarape,03/2023,931,934,3,27,27,0,53,53,0,-26,-26,0
230015,Acarape,03/2024,976,937,-39,32,34,2,15,40,25,17,-6,-23
230015,Acarape,03/2025,1006,961,-45,42,42,0,41,41,0,1,1,0
230015,Acarape,03/2026,1045,998,-47,37,37,0,43,43,0,-6,-6,0
230015,Acarape,04/2020,987,1094,107,5,5,0,19,19,0,-14,-14,0
230015,Acarape,04/2021,757,779,22,15,16,1,22,24,2,-7,-8,-1
230015,Acarape,04/2022,923,926,3,37,37,0,26,26,0,11,11,0
230015,Acarape,04/2023,924,926,2,25,25,0,32,33,1,-7,-8,-1
230015,Acarape,04/2024,984,945,-39,34,34,0,26,26,0,8,8,0
230015,Acarape,04/2025,1031,985,-46,49,49,0,24,25,1,25,24,-1
230015,Acarape,05/2020,945,1052,107,4,4,0,46,46,0,-42,-42,0
230015,Acarape,05/2021,763,775,12,20,20,0,14,24,10,6,-4,-10
230015,Acarape,05/2022,905,908,3,20,21,1,38,39,1,-18,-18,0
230015,Acarape,05/2023,927,928,1,30,31,1,27,29,2,3,2,-1
230015,Acarape,05/2024,1014,976,-38,44,44,0,14,13,-1,30,31,1
230015,Acarape,05/2025,1021,975,-46,21,21,0,31,31,0,-10,-10,0
230015,Acarape,06/2020,883,907,24,7,7,0,69,152,83,-62,-145,-83
230015,Acarape,06/2021,778,794,16,34,39,5,19,20,1,15,19,4
230015,Acarape,06/2022,918,919,1,34,34,0,21,23,2,13,11,-2
230015,Acarape,06/2023,887,890,3,27,28,1,67,66,-1,-40,-38,2
230015,Acarape,06/2024,1030,991,-39,45,45,0,29,30,1,16,15,-1
230015,Acarape,06/2025,1029,983,-46,36,36,0,28,28,0,8,8,0
230015,Acarape,07/2020,845,868,23,23,23,0,61,62,1,-38,-39,-1
230015,Acarape,07/2021,787,800,13,21,21,0,12,15,3,9,6,-3
230015,Acarape,07/2022,942,943,1,47,47,0,23,23,0,24,24,0
230015,Acarape,07/2023,883,885,2,20,20,0,24,25,1,-4,-5,-1
230015,Acarape,07/2024,1028,989,-39,33,33,0,35,35,0,-2,-2,0
230015,Acarape,07/2025,1041,995,-46,38,38,0,26,26,0,12,12,0
230015,Acarape,08/2020,838,861,23,14,15,1,21,22,1,-7,-7,0
230015,Acarape,08/2021,794,805,11,20,20,0,13,15,2,7,5,-2
230015,Acarape,08/2022,961,962,1,46,46,0,27,27,0,19,19,0
230015,Acarape,08/2023,870,875,5,32,32,0,45,42,-3,-13,-10,3
230015,Acarape,08/2024,1017,976,-41,18,18,0,29,31,2,-11,-13,-2
230015,Acarape,08/2025,1037,990,-47,26,26,0,30,31,1,-4,-5,-1
230015,Acarape,09/2020,852,873,21,26,26,0,12,14,2,14,12,-2
230015,Acarape,09/2021,825,843,18,47,55,8,16,17,1,31,38,7
230015,Acarape,09/2022,966,967,1,17,17,0,12,12,0,5,5,0
230015,Acarape,09/2023,886,884,-2,30,30,0,14,21,7,16,9,-7
230015,Acarape,09/2024,1015,974,-41,22,22,0,24,24,0,-2,-2,0
230015,Acarape,09/2025,1075,1029,-46,65,66,1,27,27,0,38,39,1
230015,Acarape,10/2020,868,887,19,31,31,0,15,17,2,16,14,-2
230015,Acarape,10/2021,878,894,16,67,67,0,14,16,2,53,51,-2
230015,Acarape,10/2022,941,942,1,23,23,0,48,48,0,-25,-25,0
230015,Acarape,10/2023,922,918,-4,58,61,3,22,27,5,36,34,-2
230015,Acarape,10/2024,1007,966,-41,22,22,0,30,30,0,-8,-8,0
230015,Acarape,10/2025,1062,1016,-46,32,32,0,45,45,0,-13,-13,0
230015,Acarape,11/2020,877,903,26,20,28,8,11,12,1,9,16,7
230015,Acarape,11/2021,897,905,8,38,38,0,19,27,8,19,11,-8
230015,Acarape,11/2022,933,935,2,14,15,1,22,22,0,-8,-7,1
230015,Acarape,11/2023,915,908,-7,15,16,1,22,26,4,-7,-10,-3
230015,Acarape,11/2024,1006,965,-41,14,14,0,15,15,0,-1,-1,0
230015,Acarape,11/2025,1071,1023,-48,38,38,0,29,31,2,9,7,-2
230015,Acarape,12/2020,878,905,27,16,18,2,15,16,1,1,2,1
230015,Acarape,12/2021,900,908,8,18,18,0,15,15,0,3,3,0
230015,Acarape,12/2022,944,947,3,20,22,2,9,10,1,11,12,1
230015,Acarape,12/2023,950,943,-7,39,39,0,4,4,0,35,35,0
230015,Acarape,12/2024,1018,975,-43,29,29,0,17,19,2,12,10,-2
230015,Acarape,12/2025,1073,1025,-48,18,18,0,16,16,0,2,2,0
230020,Acarau,01/2020,2191,2370,179,64,83,19,50,54,4,14,29,15
230020,Acarau,01/2021,2184,2345,161,53,63,10,80,87,7,-27,-24,3
230020,Acarau,01/2022,2803,2975,172,136,138,2,73,74,1,63,64,1
230020,Acarau,01/2023,2924,3090,166,79,83,4,91,91,0,-12,-8,4
230020,Acarau,01/2024,3044,3215,171,146,155,9,122,125,3,24,30,6
230020,Acarau,01/2025,3141,3321,180,98,103,5,135,137,2,-37,-34,3
230020,Acarau,01/2026,3355,3549,194,164,187,23,148,153,5,16,34,18
230020,Acarau,02/2020,2232,2415,183,68,74,6,27,29,2,41,45,4
230020,Acarau,02/2021,2223,2384,161,91,100,9,52,61,9,39,39,0
230020,Acarau,02/2022,2857,3028,171,130,131,1,76,78,2,54,53,-1
230020,Acarau,02/2023,2944,3111,167,96,97,1,76,76,0,20,21,1
230020,Acarau,02/2024,3060,3231,171,83,83,0,67,67,0,16,16,0
230020,Acarau,02/2025,3143,3329,186,101,110,9,99,102,3,2,8,6
230020,Acarau,02/2026,3444,3638,194,181,184,3,92,95,3,89,89,0
230020,Acarau,03/2020,2224,2408,184,33,39,6,41,46,5,-8,-7,1
230020,Acarau,03/2021,2233,2393,160,62,63,1,52,54,2,10,9,-1
230020,Acarau,03/2022,2886,3055,169,102,102,0,73,75,2,29,27,-2
230020,Acarau,03/2023,2932,3100,168,73,74,1,85,85,0,-12,-11,1
230020,Acarau,03/2024,3059,3232,173,101,103,2,102,102,0,-1,1,2
230020,Acarau,03/2025,3142,3328,186,119,121,2,120,122,2,-1,-1,0
230020,Acarau,03/2026,3420,3617,197,100,102,2,124,123,-1,-24,-21,3
230020,Acarau,04/2020,2197,2379,182,14,15,1,41,44,3,-27,-29,-2
230020,Acarau,04/2021,2251,2412,161,46,51,5,28,32,4,18,19,1
230020,Acarau,04/2022,2879,3048,169,46,46,0,53,53,0,-7,-7,0
230020,Acarau,04/2023,2944,3113,169,54,55,1,42,42,0,12,13,1
230020,Acarau,04/2024,3144,3320,176,174,177,3,89,89,0,85,88,3
230020,Acarau,04/2025,3159,3340,181,111,113,2,94,101,7,17,12,-5
230020,Acarau,05/2020,2157,2337,180,18,19,1,58,61,3,-40,-42,-2
230020,Acarau,05/2021,2360,2531,171,157,171,14,48,52,4,109,119,10
230020,Acarau,05/2022,2879,3046,167,70,70,0,70,72,2,0,-2,-2
230020,Acarau,05/2023,2989,3158,169,125,125,0,80,80,0,45,45,0
230020,Acarau,05/2024,3142,3320,178,80,83,3,82,83,1,-2,0,2
230020,Acarau,05/2025,3171,3356,185,104,108,4,92,92,0,12,16,4
230020,Acarau,06/2020,2126,2303,177,9,9,0,40,43,3,-31,-34,-3
230020,Acarau,06/2021,2388,2559,171,75,78,3,47,50,3,28,28,0
230020,Acarau,06/2022,2916,3083,167,93,93,0,56,56,0,37,37,0
230020,Acarau,06/2023,3013,3183,170,96,96,0,72,71,-1,24,25,1
230020,Acarau,06/2024,3163,3344,181,103,106,3,82,82,0,21,24,3
230020,Acarau,06/2025,3195,3378,183,136,138,2,112,116,4,24,22,-2
230020,Acarau,07/2020,2139,2313,174,36,37,1,23,27,4,13,10,-3
230020,Acarau,07/2021,2458,2623,165,103,104,1,33,40,7,70,64,-6
230020,Acarau,07/2022,2951,3118,167,122,122,0,87,87,0,35,35,0
230020,Acarau,07/2023,3065,3233,168,126,127,1,74,77,3,52,50,-2
230020,Acarau,07/2024,3119,3301,182,92,95,3,136,138,2,-44,-43,1
230020,Acarau,07/2025,3228,3410,182,120,119,-1,87,87,0,33,32,-1
230020,Acarau,08/2020,2163,2329,166,62,62,0,38,46,8,24,16,-8
230020,Acarau,08/2021,2522,2679,157,114,123,9,50,67,17,64,56,-8
